time_iso8601,forks_cumulative
2023-03-03 00:00:00+00:00,2
2023-06-21 00:00:00+00:00,3
2024-05-14 00:00:00+00:00,4
2024-07-08 00:00:00+00:00,5
2024-09-18 00:00:00+00:00,6
