time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-23 00:00:00+00:00,4,3,,
2025-11-24 00:00:00+00:00,5,4,2.0,2.0
2025-11-25 00:00:00+00:00,6,6,,
2025-11-26 00:00:00+00:00,7,6,,
2025-11-27 00:00:00+00:00,11,5,,
2025-11-28 00:00:00+00:00,2,2,1.0,1.0
2025-11-29 00:00:00+00:00,4,3,1.0,1.0
2025-11-30 00:00:00+00:00,4,4,,
2025-12-01 00:00:00+00:00,45,13,1.0,1.0
2025-12-02 00:00:00+00:00,12,4,,
2025-12-03 00:00:00+00:00,94,22,,
2025-12-04 00:00:00+00:00,12,7,,
2025-12-05 00:00:00+00:00,15,10,1.0,1.0
2025-12-06 00:00:00+00:00,4,3,,
