time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,23,7,1,1
2026-08-02 00:00:00+00:00,19,11,0,0
2026-08-03 00:00:00+00:00,10,7,3,3
2026-08-04 00:00:00+00:00,15,6,4,2
2026-08-05 00:00:00+00:00,31,14,0,0
2026-08-06 00:00:00+00:00,3,3,1,1
2026-08-07 00:00:00+00:00,16,7,1,1
2026-08-08 00:00:00+00:00,23,9,0,0
2026-08-09 00:00:00+00:00,8,4,0,0
2026-08-10 00:00:00+00:00,1,1,0,0
2026-08-11 00:00:00+00:00,10,5,11,3
2026-08-12 00:00:00+00:00,8,4,1,1
2026-08-13 00:00:00+00:00,13,7,1,1
2026-08-14 00:00:00+00:00,341,338,0,0
