url_path,views_total,views_unique
/CBICA/spare_score,8,7
/CBICA/spare_score/discussions/categories/show-and-tell,2,2
/CBICA/spare_score/blob/main/spare_scores/mlp.py,2,1
/CBICA/spare_score/blob/main/spare_scores/mlp_torch.py,2,1
/CBICA/spare_score/actions/runs/15152545158/workflow,1,1
/CBICA/spare_score/actions/runs/15189103666/workflow,1,1
/CBICA/spare_score/actions/workflows/macos-tests-3.8.yml,1,1
/CBICA/spare_score/blob/208f8b601c4735a2951378195f34426e7823900d/.github/workflows/codecov.yml,1,1
/CBICA/spare_score/blob/main/spare_scores/classes.py,1,1
/CBICA/spare_score/discussions/categories/announcements,1,1
