time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,16,7,1,1
2026-04-19 00:00:00+00:00,16,9,0,0
2026-04-20 00:00:00+00:00,50,20,1,1
2026-04-21 00:00:00+00:00,58,24,0,0
2026-04-22 00:00:00+00:00,76,27,2,1
2026-04-23 00:00:00+00:00,63,22,0,0
2026-04-24 00:00:00+00:00,79,27,0,0
2026-04-25 00:00:00+00:00,60,23,0,0
2026-04-26 00:00:00+00:00,7,3,0,0
2026-04-27 00:00:00+00:00,7,3,0,0
2026-04-28 00:00:00+00:00,13,4,1,1
2026-04-29 00:00:00+00:00,40,10,2,1
2026-04-30 00:00:00+00:00,20,6,1,1
2026-05-01 00:00:00+00:00,27,7,0,0
