url_path,views_total,views_unique
/CBICA/spare_score,13,6
/CBICA/spare_score/tree/main/spare_scores,10,3
/CBICA/spare_score/discussions/categories/show-and-tell,7,7
/CBICA/spare_score/tree/main/docs,5,2
/CBICA/spare_score/blob/main/spare_scores/svm.py,4,2
/CBICA/spare_score/tree/main/spare_scores/data,3,2
/CBICA/spare_score/blob/main/spare_scores/util.py,3,1
/CBICA/spare_score/blob/main/spare_scores/data/example_data_ROIs.csv,2,2
/CBICA/spare_score/blob/main/docs/index.rst,2,1
/CBICA/spare_score/blob/main/requirements.txt,2,1
