time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,23,7,0,0
2026-06-13 00:00:00+00:00,23,6,0,0
2026-06-14 00:00:00+00:00,36,16,1,1
2026-06-15 00:00:00+00:00,23,8,0,0
2026-06-16 00:00:00+00:00,24,9,0,0
2026-06-17 00:00:00+00:00,15,5,0,0
2026-06-18 00:00:00+00:00,26,7,3,2
2026-06-19 00:00:00+00:00,25,7,6,2
2026-06-20 00:00:00+00:00,64,16,0,0
2026-06-21 00:00:00+00:00,45,10,0,0
2026-06-22 00:00:00+00:00,32,7,0,0
2026-06-23 00:00:00+00:00,26,7,0,0
2026-06-24 00:00:00+00:00,28,8,0,0
2026-06-25 00:00:00+00:00,27,7,6,2
